,addtime,bId,cabin,depTime,dt_diff_h,flightNumber,invalid,last_cabin,last_price,last_seats,p_d_percent,preTime,price,price_diff,seats
3,1550133596,416000050,W,1550637300,139.9177777777778,WN939,2,W,273.0,9.0,25.274725274725274,503704,342.0,69.0,9
3,1550133596,416000051,W,1550649900,143.4177777777778,WN309,2,W,273.0,9.0,25.274725274725274,516304,342.0,69.0,9
3,1550133596,416000052,W,1550656200,145.1677777777778,WN481,2,W,273.0,9.0,25.274725274725274,522604,342.0,69.0,9
3,1550133623,416000053,W,1550619600,134.9936111111111,WN1497,2,W,170.0,9.0,37.64705882352941,485977,234.0,64.0,9
7,1550481910,416000053,W,1550619600,38.24722222222223,WN1497,2,W,234.0,9.0,12.820512820512821,137690,264.0,30.0,9
3,1550133624,416000054,W,1550650800,143.66,WN558,2,W,271.0,9.0,54.61254612546126,517176,419.0,148.0,9
1,1549964187,416000055,W,1550623500,183.14249999999998,WN236,2,W,119.0,9.0,67.22689075630252,659313,199.0,80.0,9
2,1550050015,416000055,W,1550623500,159.3013888888889,WN236,2,W,199.0,9.0,-40.20100502512563,573485,119.0,-80.0,9
3,1550133598,416000055,W,1550623500,136.0838888888889,WN236,2,W,119.0,9.0,84.03361344537815,489902,219.0,100.0,9
7,1550483024,416000055,W,1550623500,39.02111111111112,WN236,2,W,219.0,9.0,58.9041095890411,140476,348.0,129.0,9
3,1550133597,416000056,W,1550623200,136.00083333333333,WN1474,2,W,189.0,9.0,50.264550264550266,489603,284.0,95.0,9
3,1550133598,416000057,W,1550669100,148.75055555555554,WN1397,2,W,119.0,9.0,84.03361344537815,535502,219.0,100.0,9
7,1550483024,416000057,W,1550669100,51.68777777777778,WN1397,2,W,219.0,9.0,58.9041095890411,186076,348.0,129.0,9
8,1550589124,416000058,W,1550631900,11.882222222222222,WN1134,1,W,417.0,9.0,-100.0,42776,0.0,-417.0,0
3,1550133596,416000059,W,1550614500,133.58444444444444,WN579,2,W,219.0,9.0,10.045662100456621,480904,241.0,22.0,9
3,1550133596,416000060,W,1550631900,138.4177777777778,WN1304,2,W,219.0,9.0,10.045662100456621,498304,241.0,22.0,9
3,1550133597,416000061,W,1550630400,138.00083333333333,WN658,2,W,196.0,9.0,36.734693877551024,496803,268.0,72.0,9
1,1549979927,416000062,W,1550643300,184.27027777777778,WN932,2,W,216.0,3.0,24.074074074074073,663373,268.0,52.0,9
3,1550133597,416000063,W,1550655300,144.9175,WN452,2,W,216.0,9.0,24.074074074074073,521703,268.0,52.0,9
3,1550133597,416000064,W,1550662200,146.83416666666665,WN1288,2,W,196.0,9.0,36.734693877551024,528603,268.0,72.0,9
3,1550133599,416000065,W,1550623800,136.16694444444445,WN855,2,W,186.0,9.0,87.09677419354838,490201,348.0,162.0,9
3,1550133599,416000066,W,1550668500,148.5836111111111,WN28,2,W,186.0,9.0,87.09677419354838,534901,348.0,162.0,9
1,1549959229,416000067,W,1550613900,181.85305555555553,WN682,2,W,169.0,9.0,-8.875739644970414,654671,154.0,-15.0,5
13,1550284215,416000067,W,1550613900,91.57916666666667,WN682,2,W,154.0,3.0,29.22077922077922,329685,199.0,45.0,9
17,1550378620,416000067,W,1550613900,65.35555555555555,WN682,2,W,199.0,3.0,10.050251256281408,235280,219.0,20.0,3
18,1550432526,416000067,W,1550613900,50.38166666666667,WN682,2,W,219.0,3.0,77.1689497716895,181374,388.0,169.0,9
19,1550455153,416000067,W,1550613900,44.09638888888889,WN682,2,W,388.0,9.0,-43.55670103092783,158747,219.0,-169.0,3
20,1550482100,416000067,W,1550613900,36.61111111111111,WN682,2,W,219.0,3.0,77.1689497716895,131800,388.0,169.0,9
3,1550133623,416000068,W,1550633400,138.82694444444445,WN533,2,W,167.0,9.0,70.05988023952096,499777,284.0,117.0,9
3,1550061250,416000069,W,1550625300,156.68055555555557,WN1335,2,W,264.0,3.0,20.454545454545453,564050,318.0,54.0,5
6,1550133595,416000069,W,1550625300,136.58472222222224,WN1335,2,W,318.0,3.0,22.0125786163522,491705,388.0,70.0,9
3,1550133595,416000070,W,1550647800,142.83472222222224,WN1440,2,W,264.0,9.0,46.96969696969697,514205,388.0,124.0,9
3,1550133596,416000071,W,1550630700,138.08444444444447,WN716,2,W,186.0,9.0,87.09677419354838,497104,348.0,162.0,9
3,1550133596,416000072,W,1550639700,140.58444444444447,WN1782,2,W,186.0,9.0,87.09677419354838,506104,348.0,162.0,9
3,1550133596,416000073,W,1550652300,144.08444444444447,WN2227,2,W,186.0,9.0,87.09677419354838,518704,348.0,162.0,9
2,1550094616,416000074,W,1550613600,144.16222222222223,WN2296,2,W,98.0,9.0,62.244897959183675,518984,159.0,61.0,9
3,1550133597,416000074,W,1550613600,133.33416666666668,WN2296,2,W,159.0,9.0,46.540880503144656,480003,233.0,74.0,9
4,1550179693,416000074,W,1550613600,120.52972222222223,WN2296,2,W,233.0,9.0,-42.48927038626609,433907,134.0,-99.0,9
7,1550482260,416000074,W,1550613600,36.483333333333334,WN2296,2,W,134.0,9.0,85.82089552238806,131340,249.0,115.0,9
2,1550057744,416000075,W,1550663700,168.3211111111111,WN63,2,W,214.0,9.0,-65.88785046728972,605956,73.0,-141.0,4
4,1550081241,416000075,W,1550663700,161.79416666666665,WN63,2,W,73.0,3.0,193.15068493150685,582459,214.0,141.0,9
5,1550133597,416000075,W,1550663700,147.25083333333333,WN63,2,W,214.0,9.0,0.4672897196261682,530103,215.0,1.0,9
9,1550482728,416000075,W,1550663700,50.269999999999996,WN63,2,W,215.0,9.0,58.13953488372093,180972,340.0,125.0,9
